available_liquidity,sp_score,market_cap,total_debt,ltm_capex,ltm_ebitda,ltm_fcf,ltm_revenue
28694.04271,2,54856.1961,84628,-9262,21387.00032,9488,170315
24784.00051,7,209150.6401,57909,-2021,15161.00019,12105,37727
24142.00013,6,180108.3453,32970,-1817,15818.99981,12604,192592
22132.00077,9,668024.3732,3935,-10263,31217.99987,27663,94765
20346,6,144907.9931,42168,-3230,15801.00019,12061,78440
19552,5,64082.61222,36783,-2697,3425.000128,3963,38898
18440,7,478840.619,20410,-7418,12844.99994,9594,142573
17782.00038,6,163833.9215,36945,-2999,12479.99974,6725,63301
17708.00026,8,172479.4798,24842,-1674,10841.00006,6830,39929
16878,4,58678.21056,50382,-8416,9384.999936,-1993,22850
16712.99994,10,561899.0449,86194,-8129,28421.00019,31378,89950
16544.99994,8,230126.8623,42729,-10727,32968.99994,19995,487511
15252.99968,2,84441.31738,19028,-1333,7130.999936,6562,116701
15157.00019,9,777070.7067,87032,-13095,69715.00032,53244,220457
13816.99994,7,222768.2181,30598,-3521,16446.99981,9683,65081
13745.50003,8,45345.03834,2007.7,-215.4,2770.100032,2112.4,12213.2
13705.99987,2,84872.15923,22006,-1150,4404,2720,23607
13210.00013,5,103548.3955,15775,-1021,7822.999936,4962,39359
13190.00013,5,125852.672,9952,-2331,8008,9031,92915
13163.00006,7,71555.81747,5131,-108,5092.999936,2420,11516
13115.99974,7,157101.7032,28643,-1022,14553.99987,12671,48510
13075.99974,5,185025.9538,29067,-1238,11502.99981,7220,26934
12784.99968,5,92215.82029,26346,-689,17917.99987,14992,29101
12522.00013,4,185923.9117,61046,-9328,27081.99987,10458,82076
12123.99974,5,83933.16762,11757,-578,6266.000064,3782,22570
12120.00051,7,190897.9466,45709,-2168,10124.00026,6812,40699
12101.00019,2,28236.81434,16090,-3409,7377.000064,-311,43540
12053.00006,2,25063.96877,15323,-3677,2584,583,10124
11505.99974,4,98879.488,23901,-1738,10502.00013,4522,57702
11275.79994,5,40133.09952,35674.4,-2696.5,5112.4,1205.2,27156.3
11056.99994,8,199505.0353,42086,-1880,17952.99994,13961,52598
11050,6,164453.1384,20190,-4140,17064.99994,8009,55539
10848,2,80925.5895,21363,-3738,6494.000128,2164,50685
10426.99981,6,223488.3277,15882,-653,9499.00032,8240,17764
10424.99994,3,34504.25344,4304,-524,3400,5115,54341
10300,4,66319.92525,30840,-11043,9195.999872,-4888,16293
10272.40013,5,51025.74387,15726.9,-594,6436.500096,3994.4,87100.4
10225.00032,5,57550.19674,5283,-370,3612,2327,8312
10223.00006,2,31007.0313,6836,-403,3795,2582,49473
9896.999936,9,344404.951,42762,-14452,26659.99974,10991,210976
9858.999936,4,53752.16845,27275,-4014,6157.999936,1758,26090
9756.000128,5,136139.5302,5180,-242,7210.999936,3979,11064
9500.000128,6,90856.01382,6708,-1264,5494.999936,3286,19965
9466.999936,3,79394.72589,27531,-2083,12432,9107,178825
8865.014,5,50180.25984,22977.104,-1219.657,4058.494976,2218.272,5444.277
8776.09984,6,25972.11546,2083.4,-91.3,2471.099968,1821,6407.5
8687.000064,6,97545.24877,16075,-3476,7653.999808,566,61803
8539.000064,5,38784.8151,6646,-394,2995,1691,14396
8228.000256,4,142806.5485,13881,-196,9239.000064,3571,19396
8183.000064,2,30429.62432,8001,-1241,5189,3927,77577
7949,2,33383.02054,35913,-8716,9710.999808,-613,32544
7802.300032,3,6452.2496,4254.5,-595.8,952.6,148.5,2674.6
7739.999744,4,116357.5296,36842,-453,10820.99994,6563,26218
7404,4,47034.34752,47457,-7073,8101.999872,-2147,21675
7315.000064,2,66183.6759,17199,-1195,3503,1540,25882
7272.999936,3,105075.5318,14289.2,-238.6,3776.499968,3615.8,11677.6
7241.999872,1,104290.263,32404,-1312,7132.999936,3505,26281
6983.000064,7,197868.0115,46126,-15858,16508.99994,-274,111739
6971.999744,3,51183.02618,19725,-309,7137.000192,3145,28398
6844.000256,3,28591.59757,3902,-1203,2815,1571,9718
6786.000128,1,13975.17312,6806,-2021,141,-817,5066
6697.742848,2,29929.78534,1732.177,-154.018,1335.969984,1422.925,4005.645
6512.999936,3,42166.17779,10138,-2567,1989,-411,76707
6450,2,77390.88896,24368,-455,8294,4936,29745
6444,4,49562.0137,3343,-279,3517,3043,12942
6347.000064,4,73480.96205,8536,-992,4717.999936,2528,24932
6164,4,33904.91238,18436,-5752,5732,-824,17960
6086,3,48148.86093,35095,-6023,5842.999936,-1728,12196
6046,1,22418.08794,7363,-1764,1732,-879,10593
5922.999936,7,126477.4267,11650,-1393,8764.999936,4997,30385
5919.000064,2,17756.6679,4615,-1016,1433,1621,7277
5889.999872,1,9902.403584,7275,-1074,1872,426,4312
5876.999936,5,51503.05894,23006,-286.4,3794.4,2550.7,62625.8
5858.000128,5,130261.246,34596,-750,12091.00032,10074,22928
5808,7,95744.45875,3802,-1105,5300,2535,34350
5718.999936,2,58571.1575,14931,-5116,8032.000256,-186,60319
5655.000064,5,44495.33952,5032,-440,3706,4271,39997
5564.999936,5,182776.447,23601,-1754,15690.99981,8957,95720
5411.800064,7,40968.62618,2231.2,-91.6,2450.799936,1623.4,3590.3
5396,1,43621.92486,38801,-2742,5952.000128,1881,13511
5367.581056,4,6312.566272,1600.192,-254.212,737.865992,607.287,19448.486
5163.800064,3,36881.76845,15568.3,-293.6,7276.49984,4875,100150.6
5107.000064,3,38377.14022,12377,-829,-1956,-2356,15968
5048,3,45611.46266,11551,-707,2937,1872,12320
5020.999936,2,18474.0393,8544,-1860,2250,749,5786
5014,2,11004.17024,4792,-856,1527,924,45144
4992.999936,6,50332.21325,7829,-280,3618,2006,13796
4942.200064,3,18917.43334,5023.3,-155.5,2318.099968,1835.8,15410.4
4934.000128,6,163308.1262,25283,-10346,21626.00013,11305,60481
4916.900096,7,93067.94394,10305.2,-1051.7,4287.099968,4466.1,21585.3
4865.192,1,37013.59411,12171.142,-1044.247,2113.252992,753.945,4078.709
4796.013975,6,24115.34541,8475.2,-1976.8,2997.899968,138.7,16971.2
4738,2,38264.17664,8506,-205,1740,1570,18861
4722.999872,1,15607.38406,6933,-935,2362,285,26119
4716,3,83397.23059,14282,-1125,6935.000192,4134,49045
4683.062016,3,13547.88045,15274.571,-3395.577,944.534912,-400.306,10824.251
4667.000064,2,27913.25901,10572,-2757,4905.999936,2015,59379
4653.999872,3,93516.26752,13165,-196,5877.999872,1812,12535
4614,2,51444.72781,9040,-1105,3744,1758,14516
4537.999872,6,67104.78029,5171,-2572,5189.000064,2151,123285
4512.458596,6,41175.53971,9157.088,-21.899,3352.051968,-620.592,6491.132
4483,5,23575.4537,6931,-902,2526,959,62950
4479.000064,3,12841.60512,3214,-242,-1616,208,6803
4434.020096,3,95870.50086,7138.256,-237.192,3232.150912,3723.796,11014.291
4369.299968,5,31694.15373,6225.2,-1053.2,2680.4,852.3,8760
4357.999872,4,33767.28883,2782,-658,1685,1518,10263
4254.000128,1,101766.0703,13642,-1006,5162,4245,16257
4193,3,21429.02682,11783,-4196,3206,-903,9037
4168,6,60684.02586,3888,-389,4738.999936,1865,31070
4150,3,25234.0777,12463,-3650,4239.999872,-368,11891
4125,2,39883.18618,18563,-1993,3156,1752,7810
4044.999936,5,29367.43117,12749,-1748,7160.000128,4744,69317
4035.808,2,33197.44717,1952.54,-228.506,2024.401984,1391.689,12559.257
4024.25,1,19349.40365,11839,-1237,1805,-330,22739
4003.229952,1,23271.49773,3159.336,-748.639,1293.339024,1389.875,9058.339
